Score,Name,',Tank,Attachments,Game Mode,Build
2.106 mil,Cannonman,BushwhackerOR.png (https://dl.airtable.com/I7o50T1XTPOYGjZxLl9X_BushwhackerOR.png),Bushwhaker,unknown.png (https://dl.airtable.com/OmK8jJZRScSPoIgMoyEL_unknown.png),FFA,
2.105 mil,Jackson,FalconOR.png (https://dl.airtable.com/9tnw6YFHRuqOL3YUgBd7_FalconOR.png),Falcon,unknown.png (https://dl.airtable.com/wIq1oYS3SCmFV5tABbgC_unknown.png),FFA,
2.090 mil,ZeZo,BoosterOR.png (https://dl.airtable.com/RCPlZGdYTPCK7sHQWgxW_BoosterOR.png),Booster,Booster_2.08m.png (https://dl.airtable.com/iGiN7mAMS2eORviqXN2G_Booster_2.08m.png),4TDM,
2.089 mil,KC,Auto_5-Blue.jpg (https://dl.airtable.com/sBh5XQHRZu2pGJ7Rk7l5_Auto_5-Blue.jpg),Auto-5,"7PV7RVo.png (https://dl.airtable.com/SLH1fanLR529jCt00o7K_7PV7RVo.png),Xga1u9s.png (https://dl.airtable.com/zm7zqqhTeEzdGVWWXzBw_Xga1u9s.png),I1cKLaG.png (https://dl.airtable.com/BTGENQPJTLmDgM0EvN4A_I1cKLaG.png),3BCwZfA.png (https://dl.airtable.com/hLjJyOINQTyGRtSrWY02_3BCwZfA.png)",Open 3/4 TDM,
2.087 mil,Mr. Farmz,FalconOR.png (https://dl.airtable.com/9tnw6YFHRuqOL3YUgBd7_FalconOR.png),Falcon,20180520_172921.png (https://dl.airtable.com/GpXtxBBSkqHZdbPWEvZN_20180520_172921.png),4 Team Domination,
2.083 mil,!,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,unknown.png (https://dl.airtable.com/2tN4z6dScqZaEyDkejlc_unknown.png),Open 3/4 TDM,
2.080 mil,Redchicken1234,MortarOR.png (https://dl.airtable.com/tVRjptjlTuOLRanU2f8Z_MortarOR.png),Mortar,Screenshot_665.png (https://dl.airtable.com/KVYBUMvLRKtupEA3cR7I_Screenshot_665.png),2TDM,
2.071 mil,X,1anlco6iTNCvHg9v1SRj_full_AnnihilatorOR.png (https://dl.airtable.com/Vh21y1m8QKeIYn7RJzVS_1anlco6iTNCvHg9v1SRj_full_AnnihilatorOR.png),Annihilator,Untitled_drawing_18.png (https://dl.airtable.com/mi0VGY4OQ6idFvnFNmPm_Untitled_drawing_18.png),Open 3/4 TDM,
2.061 mil,KC,AutoAssassinOR.png (https://dl.airtable.com/nC7k7NNLQSecYcfcB536_AutoAssassinOR.png),Auto-Assassin,"unknown.png (https://dl.airtable.com/CI4mthM7Q8miDu5yTfqy_unknown.png),unknown.png (https://dl.airtable.com/Ml1QE5l5Smi70H7TY4zS_unknown.png),unknown.png (https://dl.airtable.com/bPfs3U6TfyIqJhlMAZOd_unknown.png)",4TDM,
2.060 mil,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/5dLLZyg9RhOgLPJmsdDU_unknown.png),FFA,
2.059 mil,Denied,r3zMBhM.png (https://dl.airtable.com/wRB17ESTeWju7Vd7Js2b_r3zMBhM.png),Carrier,arras.io_-_Google_Chrome_12_11_2018_17_05_13.png (https://dl.airtable.com/TRU1ErYMSGGeAcsOsYXX_arras.io_-_Google_Chrome_12_11_2018_17_05_13.png),Open 3/4 TDM,
2.055 mil,Jimmy,FighterOR.png (https://dl.airtable.com/HtCCi4oESf66EJtwvv0Q_FighterOR.png),Fighter,unknown.png (https://dl.airtable.com/Wow1RqQTR0W8wVSiwd59_unknown.png),2TDM,
2.051 mil,Denied,BushwhackerOR.png (https://dl.airtable.com/RnbqZh5TvqI9QPqiuuBe_BushwhackerOR.png),Bushwhacker,unknown.png (https://dl.airtable.com/SPNZ8BFBRG2AZVXZP6xp_unknown.png),Open 3/4 TDM,
2.047 mil,Zane,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,unknown.png (https://dl.airtable.com/xymjS0AQFOnaFfb7Osrn_unknown.png),FFA,
2.046 mil,𝑉𝓪𝓷𝓮𝓼𝓼𝓪,WieGyzq.png (https://dl.airtable.com/bdoFirfbQZinfJqmKRUI_WieGyzq.png),Spike,uNxJfPiuRzaEgIBoK1Zp_unknown.png (https://dl.airtable.com/n24DAewDSrimvoiLbkAJ_uNxJfPiuRzaEgIBoK1Zp_unknown.png),FFA,
2.044 mil,Road,DestroyerOR.png (https://dl.airtable.com/TlGJThs8To6blxQdFgRd_DestroyerOR.png),Destroyer,SDoayAD.png (https://dl.airtable.com/y4k7UuacTIKtfHR0fW7V_SDoayAD.png),FFA,
2.035 mil,CongratsIsTrash,Flank GuardOR.png (https://dl.airtable.com/9ErjSLeBQZ6Qzb3SIuOb_Flank%20GuardOR.png),Flank Guard,Screenshot_603.png (https://dl.airtable.com/lJg7FrWeRVO3x6pkvP5W_Screenshot_603.png),FFA,
2.033 mil,Stradpult,AutoDoubleOR.png (https://dl.airtable.com/Tvsj2wtfQSS8FsSecx8T_AutoDoubleOR.png),Auto-Double,unknown.png (https://dl.airtable.com/YTRXJSISpClkpvQcES4R_unknown.png),FFA,
2.019 mil,Ɦﻉɭɭƈคፕ,GunnerTrapperOR.png (https://dl.airtable.com/wkff2g9vQ7SXDgkdbpCg_GunnerTrapperOR.png),Gunner Trapper,unknown.png (https://dl.airtable.com/Nly57BxSiugDQbn4ip5g_unknown.png),FFA,
2.018 mil,Limit Breaker,AnnihilatorOR.png (https://dl.airtable.com/Bnq0qfLSGeDaMZPJah0w_AnnihilatorOR.png),Annihilator,2.02_m_Anni.png (https://dl.airtable.com/eLfg343yRBODHQjzHVMP_2.02_m_Anni.png),FFA,
2.011 mil,DukeOnkled,BushwhackerOR.png (https://dl.airtable.com/RnbqZh5TvqI9QPqiuuBe_BushwhackerOR.png),Bushwhacker,Screenshot_45.png (https://dl.airtable.com/JuS10Bo9SzyrIx5YUCag_Screenshot_45.png),2TDM,
2.008 mil,Denied,TwinOR.png (https://dl.airtable.com/zFt99d9wQEGIYmO1YsBD_TwinOR.png),Twin,arras.io_-_Google_Chrome_15_10_2018_18_58_41.png (https://dl.airtable.com/9fLE8n6NSMSjoY7BIw80_arras.io_-_Google_Chrome_15_10_2018_18_58_41.png),Open 3/4 TDM,
2.007 mil,Road,StreamlinerOR.png (https://dl.airtable.com/1wUgl141SKWYjHUge0xB_StreamlinerOR.png),Streamliner,lTAPgSO.png (https://dl.airtable.com/Mi20DHkcSY6NFsCp7iEe_lTAPgSO.png),FFA,
2.006 mil,Road,TripleTwinOR.png (https://dl.airtable.com/joTmKc0USCPAG0LfcNdf_TripleTwinOR.png),Triple Twin,unknown.png (https://dl.airtable.com/V2DOSYp2TSa6qKMdXVUw_unknown.png),FFA,
2.003 mil,VapTine YT,ArtilleryOR.png (https://dl.airtable.com/O2x8URf7RjCuvP2SawvG_ArtilleryOR.png),Artillery,FireShot_Capture_932_-_arras.io_-_http___arras.surge.sh_b.png (https://dl.airtable.com/qEnVj5FGTxCb9sMHjMma_FireShot_Capture_932_-_arras.io_-_http___arras.surge.sh_b.png),4TDM,
2.002 mil,Zane,FighterOR.png (https://dl.airtable.com/HtCCi4oESf66EJtwvv0Q_FighterOR.png),Fighter,unknown.png (https://dl.airtable.com/ehXhbFg8QrCjKGcXNJKi_unknown.png),4TDM,
